LATITUDE,LONGITUDE,GRAINSIZE
48.39794,-125.16396,2.89705372
48.39820,-125.15046,2.60999608
48.39845,-125.13696,2.00137854
48.39870,-125.12346,1.82961977
48.39895,-125.10996,1.62058866
48.39919,-125.09645,1.45240104
48.39944,-125.08295,1.18709290
48.39968,-125.06945,1.60056448
48.39992,-125.05595,1.76386809
48.40016,-125.04245,2.33487606
48.40040,-125.02895,3.67862368
48.40064,-125.01544,5.17916632
48.40088,-125.00194,4.50677681
48.40111,-124.98844,4.27079391
48.40134,-124.97494,4.72431087
48.40157,-124.96143,4.15461016
48.40180,-124.94793,3.69607925
48.40203,-124.93443,3.27658534
48.40226,-124.92093,3.79643965
48.40248,-124.90742,3.89163637
48.40271,-124.89392,3.94895506
48.40293,-124.88041,3.97551417
48.40315,-124.86691,4.61561823
48.40337,-124.85341,4.58670330
48.40358,-124.83990,4.52084541
48.40380,-124.82640,4.07214499
48.40401,-124.81289,3.22675157
48.40422,-124.79939,2.73498797
48.40443,-124.78588,1.73745835
48.40464,-124.77238,1.26865554
48.40485,-124.75887,0.90298867
48.40506,-124.74537,-0.28491774
48.40526,-124.73186,-0.69854474
48.40546,-124.71836,-1.11062384
48.40566,-124.70485,-1.31746185
48.40586,-124.69134,-1.83730543
48.40606,-124.67784,-1.85976040
48.40626,-124.66433,-1.46652675
48.40645,-124.65083,-1.11703813
48.40665,-124.63732,-0.70498383
48.40684,-124.62381,-0.17454934
48.40703,-124.61031,0.53347272
48.40721,-124.59680,0.56718260
48.40740,-124.58329,0.61640871
48.40759,-124.56978,1.10240757
48.40777,-124.55628,1.32016706
48.40795,-124.54277,1.75934494
48.40813,-124.52926,2.04805303
48.40831,-124.51575,2.48364925
48.40849,-124.50225,2.61518860
48.40866,-124.48874,2.78165507
48.40884,-124.47523,2.82960200
48.40901,-124.46172,3.12324595
48.40918,-124.44821,3.29197645
48.40935,-124.43470,3.26953602
48.40952,-124.42120,3.38087344
48.40968,-124.40769,3.30186939
48.40985,-124.39418,3.34817672
48.41001,-124.38067,3.38448381
48.41017,-124.36716,3.41445994
48.41033,-124.35365,3.44393182
48.41049,-124.34014,3.49371409
48.41065,-124.32663,3.56718135
48.41080,-124.31312,3.56565380
48.41096,-124.29961,3.53686047
48.41111,-124.28610,3.50667167
48.41126,-124.27259,3.49474525
48.38660,-125.28505,3.15855122
48.38687,-125.27155,3.63585877
48.38714,-125.25806,3.71948695
48.38740,-125.24456,4.72499180
48.38766,-125.23106,5.65323353
48.38792,-125.21757,5.69410467
48.38818,-125.20407,5.80835247
48.38844,-125.19057,5.35754251
48.38870,-125.17707,3.80528665
48.38895,-125.16358,2.51296663
48.38921,-125.15008,2.30796838
48.38946,-125.13658,1.75208831
48.38971,-125.12308,1.78522599
48.38996,-125.10958,1.63582039
48.39020,-125.09609,1.56859660
48.39045,-125.08259,1.19184661
48.39069,-125.06909,1.15521479
48.39093,-125.05559,1.46300197
48.39117,-125.04209,2.09875178
48.39141,-125.02859,3.22184157
48.39165,-125.01509,3.72757292
48.39189,-125.00159,3.86057687
48.39212,-124.98809,3.77928329
48.39235,-124.97459,4.56829786
48.39258,-124.96109,4.51922846
48.39281,-124.94759,3.52217078
48.39304,-124.93409,3.69343901
48.39327,-124.92059,3.46492100
48.39349,-124.90709,4.18498707
48.39371,-124.89358,3.72651124
48.39394,-124.88008,3.79353547
48.39416,-124.86658,4.30075455
48.39437,-124.85308,4.31825304
48.39459,-124.83958,4.20600700
48.39481,-124.82608,3.61482382
48.39502,-124.81257,3.09493756
48.39523,-124.79907,2.52076602
48.39544,-124.78557,1.29314351
48.39565,-124.77207,1.16728878
48.39586,-124.75856,0.50106233
